4,0,12/7/2009,adesa,2004,5,dodge,neon,sxt,4d sedan,silver,auto,1.0,alloy,65617,american,compact,chrysler,1893,2675,4658,5690,1844,2646,4375,5518,DUMMY,DUMMY,19638,33619,fl,4100,0,630,NEQ,13123,12
35,0,12/28/2009,adesa,2005,4,chevrolet,avalanche 1500 2wd v,150,4d suv-pickup 5.3l,black,auto,1.0,alloy,78434,american,large truck,gm,10272,12753,15509,17813,11671,13560,16535,18390,DUMMY,DUMMY,19638,33619,fl,10700,0,1272,NEQ,19608,12
69,1,1/18/2010,adesa,2001,9,ford,focus,zx3,2d coupe zx3,black,auto,1.0,alloy,95558,american,compact,ford,2006,2669,4031,4871,2371,3122,4957,5927,DUMMY,DUMMY,19638,33619,fl,3700,0,1641,NEQ,10617,1
94,0,2/1/2010,adesa,2003,7,chevrolet,cavalier 4c,bas,4d sedan,silver,manual,2.0,covers,73810,american,compact,gm,2105,2967,4771,5707,2659,3600,5185,5987,DUMMY,DUMMY,5546,33619,fl,4100,0,1455,NEQ,10544,2
136,0,3/1/2010,adesa,2004,6,jeep,liberty 2wd v6,lim,4d suv limited,red,auto,1.0,alloy,64677,american,small suv,chrysler,7102,8063,12790,14520,7139,8084,12944,14657,DUMMY,DUMMY,19638,33619,fl,8500,0,630,NEQ,10779,3
143,0,3/1/2010,adesa,2003,7,ford,expedition 2wd v8,edd,4d suv 4.6l eddie bauer,white,auto,1.0,alloy,91558,american,large suv,ford,8630,9792,11589,12358,7889,8989,10529,11868,DUMMY,DUMMY,5546,33619,fl,9800,0,1497,NEQ,13079,3
162,0,3/15/2010,adesa,2005,5,dodge,1500 ram pickup 2wd,slt,quad cab 4.7l slt,white,auto,1.0,alloy,46695,american,large truck,chrysler,8578,10148,12893,14347,9020,11168,13252,15018,DUMMY,DUMMY,19638,33619,fl,11700,0,693,NEQ,9339,3
184,1,3/29/2010,adesa,2004,6,chrysler,pt cruiser,bas,4d sedan,red,auto,2.0,covers,60522,american,medium,chrysler,4196,5053,7137,8089,3534,4563,6998,9035,DUMMY,DUMMY,19619,33619,fl,5900,0,1215,NEQ,10087,3
211,0,4/12/2010,adesa,2005,5,dodge,dakota pickup 2wd v6,st,ext cab 3.7l,blue,auto,1.0,alloy,50385,american,small truck,chrysler,5388,6376,8905,10048,5733,7693,9425,11404,DUMMY,DUMMY,19638,33619,fl,7300,0,920,NEQ,10077,4
224,0,4/19/2010,adesa,2002,8,ford,escape 2wd v6,xlt,4d cuv 3.0l xlt,grey,auto,DUMMY,DUMMY,79030,american,small suv,ford,4160,5304,6997,8276,3895,5044,7614,9861,DUMMY,DUMMY,5546,33619,fl,7100,0,1220,NEQ,9878,4
226,0,4/26/2010,adesa,2006,4,mazda,tribute 2wd 4c,i,4d sport utility i,blue,auto,1.0,alloy,77786,other asian,small suv,other,8075,9652,11354,12827,7609,9505,10944,12862,DUMMY,DUMMY,5546,33619,fl,7300,0,920,NEQ,19446,4
256,0,5/10/2010,adesa,2005,5,ford,focus,zx4,4d sedan zx4,red,manual,2.0,covers,73516,american,compact,ford,3656,4485,6635,7420,3612,4711,6925,7961,DUMMY,DUMMY,20928,33619,fl,5500,0,1155,NEQ,14703,5
266,0,5/24/2010,adesa,2006,4,chevrolet,equinox fwd v6,ls,4d suv ls,purple,auto,2.0,covers,91773,american,medium suv,gm,8037,9794,11586,13748,8428,10145,12427,13850,DUMMY,DUMMY,19638,33619,fl,6800,0,1630,NEQ,22943,5
406,0,12/6/2010,adesa,2004,6,toyota,corolla,ce,4d sedan ce,red,auto,3.0,special,75149,top line asian,compact,other,4784,5520,7462,8743,5166,6019,7820,9012,no,green,19619,33619,fl,6950,0,569,NEQ,12524,12
448,0,8/26/2009,adesa,2007,2,saturn,ion 2.2l i4 efi / sf,2,4d sedan level 2,silver,auto,2.0,covers,55844,american,medium,gm,6770,7956,7812,9092,5936,7359,6911,8448,DUMMY,DUMMY,20740,20166,va,5975,0,671,NEQ,27922,8
462,0,8/26/2009,adesa,2006,3,chevrolet,impala 3.5l v6 sfi,ls,4d sedan ls,grey,auto,2.0,covers,63761,american,large,gm,6821,8172,7867,9326,7203,8521,8279,9703,DUMMY,DUMMY,20740,20166,va,7185,0,1703,NEQ,21253,8
492,0,9/9/2009,adesa,2003,6,chrysler,concorde 3.5l v6 mpi,lxi,4d sedan lxi,silver,auto,1.0,alloy,78508,american,large,chrysler,3720,5004,4518,5904,2719,4221,3437,5059,DUMMY,DUMMY,99740,20166,va,3500,0,2040,NEQ,13084,9
497,1,9/16/2009,adesa,2003,6,ford,expedition 4wd v8 5.,xlt,4d suv 5.4l xlt,white,auto,DUMMY,DUMMY,69407,american,large suv,ford,7054,8426,8118,9600,7054,8426,8118,9600,DUMMY,DUMMY,21973,20166,va,10665,0,1515,EQ,11567,9
508,0,9/23/2009,adesa,2004,5,dodge,durango 4wd v8 5.7l,slt,4d suv 5.7l slt,white,auto,1.0,alloy,64436,american,medium suv,chrysler,8989,10810,10208,12175,7407,8915,11416,12794,DUMMY,DUMMY,20740,20166,va,10715,0,1411,NEQ,12887,9
512,1,9/23/2009,adesa,2003,6,ford,windstar fwd v6 3.8l,lx,passenger 3.8l lx,white,auto,DUMMY,DUMMY,92877,american,van,ford,2782,3857,3505,4666,2782,3857,3505,4666,DUMMY,DUMMY,20740,20166,va,3100,0,2506,EQ,15479,9
519,0,9/23/2009,adesa,2006,3,mazda,mazda6 2.3l i4 mfi /,i,4d sedan i,blue,auto,2.0,covers,58897,other asian,medium,other,8574,10438,9760,11773,7992,9210,11844,13081,DUMMY,DUMMY,20740,20166,va,8305,0,1003,NEQ,19632,9
559,0,3/3/2010,adesa,2006,4,chrysler,sebring 4c,bas,4d sedan,white,auto,2.0,covers,51023,american,medium,chrysler,5091,6207,8432,9737,5057,6362,8386,9723,DUMMY,DUMMY,52117,20166,va,5690,0,920,NEQ,12755,3
561,0,3/10/2010,adesa,2004,6,ford,explorer 4wd v6,xlt,4d suv 4.0l xlt,blue,auto,1.0,alloy,68678,american,medium suv,ford,7539,9055,11345,13255,7579,8974,11830,14488,DUMMY,DUMMY,52117,20166,va,9030,0,1508,NEQ,11446,3
