20,0,12/14/2009,adesa,2004,5,gmc,envoy xl 2wd 6c,sle,4d utility 4.2l sle,black,auto,1.0,alloy,84498,american,medium suv,gm,7347,8845,11092,13052,7436,8766,11367,12609,DUMMY,DUMMY,19638,33619,fl,7100,0,1243
23,0,12/21/2009,adesa,2004,5,chevrolet,venture fwd v6,ls,passenger 3.4l,silver,auto,2.0,covers,98130,american,van,gm,2290,3818,5646,7427,2446,3542,5999,8687,DUMMY,DUMMY,5546,33619,fl,4100,0,5613
52,0,1/18/2010,adesa,2006,4,saturn,ion,2,4d sedan level 2,grey,manual,2.0,covers,58024,american,medium,gm,4918,6168,8421,9638,5112,6101,8097,9389,DUMMY,DUMMY,20928,33619,fl,5600,0,671
59,1,1/18/2010,adesa,2004,6,chrysler,pacifica fwd,DUMMY,4d sport tourer,gold,auto,1.0,alloy,87008,american,crossover,chrysler,5925,7204,9121,10766,6372,7756,9650,10993,DUMMY,DUMMY,19638,33619,fl,6900,0,1503
64,1,1/18/2010,adesa,2003,7,toyota,4 runner 2wd v8,sr5,4d sport utility sport edition,beige,auto,1.0,alloy,90026,top line asian,medium suv,other,8811,10569,12602,15004,8234,9818,12146,13893,DUMMY,DUMMY,19638,33619,fl,7900,0,1209
67,1,1/18/2010,adesa,2005,5,pontiac,grand prix,gxp,4d sedan gxp,purple,auto,1.0,alloy,75513,american,large,gm,10122,11913,13679,15574,9316,10419,13219,14612,DUMMY,DUMMY,20928,33619,fl,9100,0,1974
71,0,1/25/2010,adesa,2006,4,mazda,mazda5,DUMMY,4d wagon sport,white,auto,1.0,alloy,83501,other asian,crossover,other,7841,9211,11179,12142,7860,9170,11305,12281,DUMMY,DUMMY,19619,33619,fl,7300,0,1113
72,0,1/25/2010,adesa,2007,3,jeep,liberty 2wd v6,spo,4d suv,black,auto,1.0,alloy,70148,american,small suv,chrysler,9670,10949,14609,16541,10037,11627,14218,15701,DUMMY,DUMMY,19619,33619,fl,7300,0,686
76,0,1/25/2010,adesa,2005,5,dodge,dakota pickup 2wd v6,st,quad cab 3.7l st,silver,auto,1.0,alloy,61081,american,small truck,chrysler,6208,7176,10055,11247,7470,8553,11393,12672,DUMMY,DUMMY,19619,33619,fl,5900,0,1020
80,1,1/25/2010,adesa,2003,7,ford,expedition 2wd v8,xlt,4d suv 4.6l xlt,silver,auto,DUMMY,DUMMY,59425,american,large suv,ford,6216,7470,9763,11452,6468,7813,10017,11930,DUMMY,DUMMY,19619,33619,fl,8700,0,1137
