25,0,12/21/2009,adesa,2007,2,chevrolet,hhr,ls,4d suv 2.2l ls,grey,auto,2.0,covers,65663,american,medium,gm,5830,6923,9644,10838,7038,7945,11189,11803,DUMMY,DUMMY,5546,33619,fl,7000,0,728
53,0,1/18/2010,adesa,2006,4,chevrolet,hhr,ls,4d suv 2.2l ls,gold,auto,2.0,covers,40919,american,medium,gm,5456,6832,9488,11466,6189,7436,9696,11087,DUMMY,DUMMY,20928,33619,fl,7700,0,623
56,0,1/18/2010,adesa,2006,4,dodge,durango 2wd v8,sxt,4d suv 4.7l,silver,auto,1.0,alloy,50308,american,medium suv,chrysler,8219,9414,12742,14018,8881,10454,13601,15016,DUMMY,DUMMY,20928,33619,fl,9635,0,1086
169,0,3/22/2010,adesa,2003,7,saturn,l series,l20,4d sedan l200,white,auto,2.0,covers,97221,american,medium,gm,3666,4925,6135,7515,2879,3872,6339,7096,DUMMY,DUMMY,5546,33619,fl,4600,0,2074
202,0,4/5/2010,adesa,2004,6,ford,expedition 2wd v8,xlt,4d suv 4.6l xlt,blue,auto,1.0,alloy,80906,american,large suv,ford,8817,10563,12228,13965,8091,9707,11643,13460,DUMMY,DUMMY,19638,33619,fl,9500,0,1113
210,0,4/12/2010,adesa,2003,7,nissan,altima,bas,4d sedan s,green,auto,2.0,covers,67696,top line asian,medium,other,4817,5876,7912,8935,4477,5597,7668,9242,DUMMY,DUMMY,19619,33619,fl,7300,0,930
223,0,4/19/2010,adesa,2003,7,chevrolet,trailblazer 2wd 6c,ls,4d suv 4.2l ls,green,auto,DUMMY,DUMMY,86344,american,medium suv,gm,5703,7238,8634,10318,5456,6621,8746,10131,DUMMY,DUMMY,19638,33619,fl,7000,0,1543
241,0,5/3/2010,adesa,2005,5,chrysler,pacifica fwd,tou,4d sport touring,silver,auto,1.0,alloy,85334,american,crossover,chrysler,7592,9194,10292,13662,7228,8967,10679,12522,DUMMY,DUMMY,20928,33619,fl,8335,0,1503
277,0,10/4/2010,adesa,2007,3,chevrolet,malibu 4c,ls,4d sedan ls,grey,auto,2.0,covers,53642,american,medium,gm,6841,8152,10323,11538,6045,7386,9649,10776,DUMMY,DUMMY,5546,33619,fl,7600,0,837
282,1,10/4/2010,adesa,2007,3,pontiac,g6 4c,bas,4d sedan,white,auto,2.0,covers,89443,american,medium,gm,6976,8174,10513,11445,6491,7771,9545,10739,DUMMY,DUMMY,5546,33619,fl,6100,0,1113
320,0,10/25/2010,adesa,2004,6,ford,expedition 2wd v8,xls,4d suv 4.6l xls,red,auto,1.0,alloy,92482,american,large suv,ford,7065,8576,10555,12937,7505,8825,11123,12386,DUMMY,DUMMY,5546,33619,fl,8100,0,1197
327,0,11/1/2010,adesa,2005,5,dodge,caravan grand fwd v6,sxt,minivan 3.8l sxt,red,auto,1.0,alloy,71158,american,van,chrysler,5134,6540,8938,10833,5381,6843,8978,10295,DUMMY,DUMMY,19638,33619,fl,5900,0,1623
